match_id,current_innings,over,Sum of Boundary,Sum of runs,season,Sum of is_Wicket
548324,RR,14,6,24,2012,0
548318,CSK,19,5,28,2012,0
548321,DC,8,5,28,2012,0
548329,DC,1,5,24,2012,1
548329,DC,6,5,25,2012,1
548329,DC,15,5,28,2012,0
548329,DC,17,5,27,2012,0
548374,KXIP,17,5,22,2012,0
548339,MI,19,5,27,2012,0
548327,RCB,13,5,31,2012,0
548376,RCB,2,5,24,2012,0
548322,CSK,4,4,18,2012,0
548355,CSK,5,4,24,2012,0
548380,CSK,11,4,21,2012,0
548380,CSK,19,4,25,2012,0
548321,DC,4,4,20,2012,1
548329,DC,13,4,25,2012,0
548329,DC,14,4,27,2012,0
548342,DC,11,4,23,2012,0
548342,DC,18,4,20,2012,0
548345,DC,20,4,20,2012,1
548348,DC,15,4,19,2012,0
548348,DC,18,4,25,2012,0
548348,DC,19,4,25,2012,1
548374,DC,7,4,23,2012,0
548378,KKR,20,4,21,2012,0
548381,KKR,4,4,20,2012,0
548354,KXIP,7,4,18,2012,0
548371,KXIP,15,4,22,2012,0
548317,MI,3,4,21,2012,0
548317,MI,14,4,23,2012,0
548363,MI,15,4,19,2012,0
548313,PWI,19,4,27,2012,1
548333,PWI,18,4,23,2012,0
548348,PWI,6,4,17,2012,0
548310,RCB,3,4,19,2012,0
548327,RCB,20,4,24,2012,0
548344,RCB,19,4,23,2012,0
548356,RCB,18,4,23,2012,0
548356,RCB,19,4,19,2012,0
548362,RCB,6,4,25,2012,0
548309,RR,3,4,16,2012,0
548324,RR,17,4,24,2012,0
548326,RR,17,4,17,2012,0
548349,RR,3,4,18,2012,0
548377,RR,10,4,22,2012,0
548306,CSK,8,3,14,2012,0
548311,CSK,5,3,18,2012,0
548311,CSK,14,3,18,2012,0
548318,CSK,6,3,20,2012,0
548318,CSK,20,3,17,2012,1
548330,CSK,15,3,15,2012,0
548330,CSK,20,3,18,2012,1
548332,CSK,2,3,12,2012,0
548343,CSK,5,3,14,2012,0
548352,CSK,5,3,21,2012,0
548361,CSK,4,3,13,2012,0
548361,CSK,17,3,17,2012,1
548361,CSK,18,3,18,2012,0
548364,CSK,5,3,13,2012,0
548368,CSK,3,3,14,2012,0
548368,CSK,19,3,18,2012,0
548379,CSK,10,3,14,2012,0
548379,CSK,11,3,19,2012,0
548379,CSK,16,3,14,2012,1
548379,CSK,19,3,18,2012,0
548380,CSK,6,3,13,2012,0
548380,CSK,15,3,23,2012,0
548380,CSK,17,3,16,2012,1
548381,CSK,6,3,19,2012,0
548381,CSK,14,3,17,2012,0
548310,DC,1,3,14,2012,1
548314,DC,6,3,18,2012,0
548316,DC,1,3,12,2012,0
548321,DC,6,3,22,2012,0
548321,DC,13,3,25,2012,0
548321,DC,17,3,20,2012,1
548321,DC,19,3,22,2012,0
548326,DC,18,3,17,2012,0
548326,DC,19,3,18,2012,0
548326,DC,20,3,18,2012,0
548329,DC,2,3,15,2012,0
548329,DC,4,3,18,2012,0
548329,DC,9,3,25,2012,0
548329,DC,16,3,29,2012,0
548333,DC,6,3,20,2012,0
548333,DC,8,3,18,2012,0
548337,DC,6,3,15,2012,0
548341,DC,1,3,16,2012,0
